index,text
1211,"Poor design and fit, such that after 4-5 wears, the front of both shoes wore out - into a hole.  Not recommended"
1227,"I ordered the jacket pictured, but I received an entirely different Bernardo jacket.  Customer service re-ordered for me and I got the same incorrect jacket.  I wouldn't bother ordering this unless customer service assures you that their inventory glitch has been corrected"
1229,THe pants that I ordered for my size were very small. They weren't true to size at all. I would not recommend this item to anyone
1256,"I ordered a pair of the adult designer rain boots from Diane's Little Lambs. I specifically ordered because the boots appeared to accommodate a wider calf (were shorter, fuller, etc). But the boots that arrived were taller, even the color was not the same as 
on the website. I emailed the vendor, never got a reply. So I went to the website to get instructions on mailing the boots back."
1259,"The robe does not fit me. I wanted to return it, got a return item number, got busy, and did not get it in the mail soon enough. They have a strict 30 day return ploicy. Nordstroms does not do this. I could exchange it there.

Sorry I got a job and not time for petty rules. I will go elsewhere next time"
1260,This item was cancelled by Amazon because of a price mistake that they would not honor after taking my order.very poor customer servic
1280,"The color that I received and the color that was online was not the same.  I shipped it back.  Had to pay for the shipping and handling and insurance myself.  Tried to resolve through Hungry Lion, but they claimed the color was never shown online, when it was.  Hungry Lion did say I would get a refund on the item.  Still have not checked to see if I have received credit yet. Still waiting for my statement."
1282,"The boots are not how they seem in the picture. Yes they have real rabbit fur trim and yes, it has real sheep wool lining. However, the quality of the leather is very poor and not how it would appear in the photo. The leather is very dry and thin. I applied a leather oil which seemed to help a bit but I feel for nearly $100 I would have gotten a better quality product"
1304,"This is not a jockstrap.  It is a thong and is inappropriate for any sporting activity.  I tried wearing it as regular underwear but found it incredibly uncomfortable, let alone not exactly hygenic!  No surprise that they are phasing them out of their lineup.  Probably the only uncomfortable underwear made by RIPS"
1318,I am a 44DD I am having the hardest time finding a good bra...I ordered this one and I am a little dissapointed.  The underwires in the front poke out and make it look like I have these bones sticking straight out of my chest.  Everthing else is ok...no complaints other than the underwire not laying flush with my chest bone
1330,"The glasses look fine... from a far distance. They are produced very carelessly. Given that it's on sale, the quality can not be as high as normal. However, it should not that bad"
1349,"I purchased 5 of the Anvil SS Henleys in assorted colors not long ago.  Out of the box, they were good quality.  After 2 washes, however, they have shrunk drastically to the point that they cannot be tucked in anymore.  My personal opinion... waste of money"
1353,I ordered these for my 21 year old daughter who attends Juilliard.  They looked terrible because they were shiney.  The worst part is that the company will not allow a return or exhange.
1358,Coat was of VERY cheap quality. The fur around hood was matted. No way I would wear or recommend this coat.  It went staight to Good Will. I guess you get what you pay for.  Unless it is free you are paying too much
1361,"I still got a pantyline with this---strange and frustrating----
:"
1385,"I ordered the black one. According to the photo provided, it was supposed to be black with white seams, but when i received it, it was all black. Once I put it on it fitted perfectly. But it is simply too difficult to put on even though it is the right size."
1398,"The fabric of the bathrobe was wonderful Egyptian cotton, but the bathrobe was huge.  It was more like a tent than a bathrobe.  It was an anniversary present for my wife (size 8) and the bathrobe was one size fits all as long as you wear a size 18.  I was very disappointed that I could not have ordered at least a general size (large, medium or small)"
1400,"I paid for two tie racks. I received a large box with only only tie rack and a receipt for both. I figured that they would send the second later, but it never happened...

The one rack that I did receive looked fine"
1412,"I have seen others wear these slides and I know Adidas usually supplies an excellent product. I did read the other reviews that warned of a need for ""breaking in"" the sole nubs and wearing socks during that process. However, I've worn these slides for 2+ months and they still make the soles of my feet tender unless I continue to wear socks.  I am disappointed in the slide but I will stubbornly continue to wear them. Maybe some day they will be ""broken"""
1417,"You can use them as a ""skin"" but to use them excercising or on the move is no good.  The attachment to the strap is poor and the ipod is on a clip that can rotate so when you're moving it is swinging around and just not useful for anything other than standing still"
1421,"For all the costs involved in purchasing the Jedi Robe it was'nt worth it.
Shipping/handling and customs charge were not worth purchasing the item.  I will never shop Amazon or any online store"
1426,"I have been a 34 size for my entire life and this bra fits terrible...the fabric is stiff and so uncomfortable..I could not wait to take it off. Champion should stick to making sports bra...do not buy this bra or you will suffer. Plus, it looks much thinner in the picture..it is really thick...it feels like a maternity bra. UGH"
1439,"Ordered a pair...and they lost my first order.  Had to contact amazon to help. Finally got order..and pants were too small. So..had to RE order larger size.  Got pants in SAME size as last. Wrote back saying I know have TWO pair of pants that are too small.    
First they denied sending wrong size..then later wrote back saying they did make a mistate and that new order in correct size was on its way with postage lables to send pants back. Well a month later still have not recieved pants or lables.  Have wrote half a dozen emails asking for a reply and help..NO REPLY.  Never had such POOR customer service"
1447,The title says it all.  This product does not offer much in the way of control and it is definitely not firm.  Basically you are spending $35 for a high waist brief
1449,"I Purchased this to replace my husband's favorite keyfob from American Eagle, which was almost identical (and lasted ten years, incidentally). This one fell apart after two months. Time for a trip to the local leathersmith.."
1469,"I got it a few weeks ago. Although the light turned on in the charger (indicating the electrical socket is good), my shuffle only briefly flickered its charging/LED light.   I played around with it, but it seems it can't maintain contact and charge despite many attempts over several days.  I gave up and simply use my usb charger (with the stable base) hooked up to my laptop"
1472,"Suit was too small, not enough information available on the site for it. I called Amazon, but even the customer representative was not sure the size. I bought the suit as he suggested, but it is too small"
1474,These pants have a tendency to split horizontally for almost no reason at all. If they split alont the seam that would be one thing but to ctross a seam and just practically explode even when they fit loosely can only mean rotten fabric and that is what you will get when you buy these. I have lost the 3 pairs I biught to the self same calamity and always in public. Please save yourself the trouble. By the way the Lee version of these pants also do the same thing. Be afraid be very afraid.
